,make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,price_usd,brand,transmission,color,service_history,accidents_reported,insurance_valid
29,1995,20.19,1200,Petrol,2,5047.31,Honda,Manual,Black,Full,0,No
30,2006,18.39,1200,Diesel,4,7529.89,Tesla,Automatic,Red,None,1,Yes
31,2020,23.27,4000,Petrol,3,11362.28,Kia,Automatic,Silver,Full,0,Yes
32,2016,13.15,1200,Electric,3,8934.87,BMW,Automatic,Black,None,1,Yes
33,2023,17.6,1200,Diesel,1,9565.19,Chevrolet,Manual,Black,None,0,Yes
34,2006,22.44,1000,Diesel,5,3616.11,Tesla,Automatic,Black,None,0,Yes
35,2019,19.81,2500,Diesel,2,11251.36,Ford,Automatic,Silver,None,3,Yes
36,2011,20.13,5000,Diesel,1,10860.67,Nissan,Manual,Red,Full,0,Yes
37,2021,23.54,5000,Diesel,5,12256.44,Ford,Manual,Blue,None,0,Yes
38,2021,15.97,1500,Petrol,2,6901.08,Nissan,Automatic,Red,Full,0,Yes
39,2004,14.92,800,Diesel,4,1858.64,Ford,Manual,White,Partial,0,Yes
40,2022,20.88,2000,Petrol,5,6916.32,Ford,Manual,Gray,None,1,Yes
41,2022,17.25,1800,Petrol,2,8983.39,Honda,Manual,Blue,Full,0,Yes
42,2010,23.61,1000,Petrol,3,6654.31,Hyundai,Manual,Silver,Full,0,Yes
43,2009,19.85,2000,Petrol,5,6340.6,Kia,Automatic,White,None,1,Yes
44,2009,14.88,800,Petrol,2,3263.63,Toyota,Manual,Black,Full,0,Yes
45,2013,19.69,1200,Petrol,3,6564.08,Kia,Manual,Black,Full,0,Yes
46,2006,13.49,1500,Petrol,3,4548.99,Chevrolet,Automatic,Gray,Partial,0,No
47,2017,22.73,1200,Petrol,1,7396.53,Honda,Manual,Red,None,2,Yes
48,2014,11.01,2000,Petrol,2,6603.26,Toyota,Manual,Silver,None,0,Yes
49,2019,24.11,1500,Diesel,1,10558.87,Chevrolet,Automatic,Silver,Partial,0,Yes
50,1997,19.6,800,Petrol,1,3727.01,Kia,Automatic,Black,Partial,0,Yes
51,1999,17.18,1800,Electric,4,7775.41,Ford,Manual,Black,None,0,No
52,2013,21.82,1800,Petrol,1,9200.45,Honda,Automatic,Gray,Full,0,Yes
53,2001,20.56,4000,Diesel,1,10397.17,Honda,Manual,Gray,Partial,0,No
54,2015,24.65,3000,Petrol,4,8650.95,Honda,Manual,Gray,Full,0,Yes
55,2003,24.61,3000,Electric,4,9899.66,Tesla,Manual,Silver,None,0,No
56,2001,19.76,1800,Petrol,5,4395.65,Toyota,Manual,Silver,Partial,0,Yes
57,2012,13.64,3000,Diesel,1,8282.81,Ford,Manual,Red,Partial,0,Yes
58,1998,15.29,5000,Petrol,3,8083.56,Tesla,Manual,Black,Full,1,No
59,2019,17.64,2500,Diesel,4,8216.22,Kia,Manual,Silver,Partial,0,Yes
60,2022,23.41,800,Petrol,2,6903.49,Chevrolet,Automatic,White,Full,0,Yes
61,2008,15.72,2500,Diesel,5,5304.48,Honda,Automatic,White,Full,1,Yes
62,2012,16.14,3000,Diesel,5,6862.02,Volkswagen,Automatic,White,None,0,Yes
63,2020,27.24,1200,Electric,1,11413.96,Chevrolet,Manual,Blue,None,0,Yes
64,2003,17.48,4000,Diesel,3,8191.43,Ford,Manual,White,Full,1,Yes
65,2020,14.83,3000,Petrol,4,8248.22,Volkswagen,Manual,Silver,Full,1,No
66,2015,21.88,1000,Petrol,2,8819.21,Ford,Manual,Blue,Full,0,No
67,1996,17.72,2000,Diesel,1,7194.95,Nissan,Automatic,Gray,Partial,1,Yes
68,2014,11.05,1500,Petrol,3,5150.71,Tesla,Manual,Black,Full,0,Yes
69,2022,23.2,1200,Diesel,1,8327.32,Chevrolet,Automatic,Silver,Partial,1,Yes
70,2009,14.26,2000,Petrol,1,6737.61,Ford,Manual,White,Full,0,Yes
71,2022,18.22,5000,Diesel,5,12125.07,Hyundai,Manual,Gray,Full,1,No
72,2001,17.66,4000,Diesel,2,8567.0,Chevrolet,Manual,Gray,Partial,2,Yes
73,2006,19.15,1000,Petrol,2,5113.9,Ford,Manual,Black,None,1,Yes
74,2023,7.04,5000,Diesel,2,12985.97,Honda,Manual,Gray,None,1,Yes
75,2002,16.32,5000,Petrol,2,9291.24,Volkswagen,Manual,White,Partial,0,Yes
76,2009,23.62,5000,Petrol,4,10490.67,Honda,Automatic,Red,Full,1,Yes
77,1997,24.33,1800,Electric,4,6128.32,Ford,Manual,Blue,Full,0,Yes
78,2008,13.04,2000,Petrol,2,5764.27,Toyota,Automatic,Gray,Partial,0,Yes
79,2011,22.6,1500,Diesel,3,6549.19,Toyota,Manual,Black,Full,1,No
80,1998,14.19,2500,Diesel,4,4597.91,Toyota,Manual,White,Full,0,No
81,2012,16.13,1000,Diesel,4,5888.31,Nissan,Manual,Red,None,1,Yes
82,2002,16.39,2500,Petrol,3,5042.59,Ford,Manual,Blue,Full,0,Yes
83,1998,18.54,1000,Diesel,2,2193.27,Kia,Automatic,White,None,1,Yes
84,1996,23.01,800,Petrol,1,4351.08,Nissan,Automatic,Silver,Full,0,Yes
85,2000,19.32,1800,Petrol,4,4234.82,Ford,Automatic,Red,Full,1,Yes
86,2016,17.37,1000,Electric,1,10738.88,BMW,Manual,Black,Partial,1,Yes
87,2004,22.84,3000,Petrol,1,8821.93,Honda,Automatic,White,Full,0,Yes
88,1998,13.99,3000,Diesel,3,7058.39,Chevrolet,Manual,Black,None,1,No
89,2016,17.61,800,Petrol,2,5974.08,BMW,Manual,Silver,Partial,0,Yes
90,2023,22.98,1500,Petrol,1,8841.47,Toyota,Automatic,Black,Partial,0,Yes
91,2012,20.65,4000,Petrol,2,11386.9,BMW,Automatic,Red,Partial,0,No
92,2020,15.67,1800,Petrol,5,6962.45,BMW,Manual,Blue,None,1,Yes
93,2006,10.44,5000,Petrol,2,9338.5,Ford,Manual,White,None,0,Yes
94,1996,19.55,2000,Petrol,3,5190.94,Tesla,Manual,Gray,Full,0,Yes
95,2004,10.11,1200,Diesel,3,3953.91,Chevrolet,Manual,Blue,None,0,Yes
96,1998,16.94,1800,Petrol,5,3280.74,Nissan,Automatic,White,Partial,0,Yes
97,2008,23.89,800,Petrol,3,6286.89,Nissan,Manual,Black,Partial,1,Yes
98,2010,20.98,3000,Petrol,2,10376.58,Ford,Automatic,Black,Full,0,Yes
99,2009,7.88,2000,Diesel,2,5115.91,BMW,Manual,Red,Full,1,Yes
100,2002,19.0,1000,Petrol,2,4968.68,Tesla,Automatic,Black,Partial,1,Yes
101,2008,16.4,1500,Electric,3,8391.33,Nissan,Manual,Silver,Full,2,Yes
102,2017,11.63,1500,Petrol,2,6147.01,Ford,Automatic,Red,Full,0,Yes
103,2022,19.68,4000,Petrol,4,10939.12,Hyundai,Automatic,White,Full,0,Yes
104,2019,15.54,4000,Petrol,5,7848.84,Hyundai,Manual,Black,Full,0,Yes
105,2002,15.57,1800,Petrol,4,5345.06,Hyundai,Manual,White,Partial,0,Yes
106,2015,18.62,1200,Diesel,2,7472.53,Hyundai,Manual,Black,Partial,0,Yes
107,2010,14.87,800,Petrol,3,2462.72,Volkswagen,Manual,Red,Full,1,Yes
108,2007,18.48,2000,Petrol,5,4981.61,Nissan,Automatic,Gray,Full,0,Yes
109,2012,15.03,3000,Petrol,4,7840.34,Hyundai,Manual,Silver,Full,0,Yes
110,2009,15.31,800,Petrol,2,5641.82,Volkswagen,Automatic,White,Partial,0,Yes
111,2015,22.96,800,Electric,3,8842.66,Volkswagen,Manual,Blue,Partial,0,No
112,2018,23.47,2500,Diesel,2,9419.87,Nissan,Manual,Black,Full,0,No
113,2020,9.46,2500,Petrol,4,7652.52,BMW,Manual,Red,Full,1,Yes
114,2019,21.74,1000,Petrol,4,5677.46,Volkswagen,Automatic,White,Full,1,No
115,2022,24.99,1200,Diesel,5,8662.69,Honda,Manual,Red,None,1,Yes
116,2022,25.79,1000,Diesel,3,7897.75,Ford,Manual,White,Full,2,Yes
117,2022,20.6,2000,Diesel,1,9866.21,Toyota,Manual,Silver,Partial,1,Yes
118,2007,12.71,3000,Petrol,2,8823.31,Chevrolet,Manual,Gray,Full,1,Yes
119,2003,21.15,3000,Petrol,3,7364.01,Nissan,Manual,Black,Full,0,Yes
120,2023,13.65,800,Diesel,1,8546.18,Volkswagen,Automatic,White,None,1,Yes
121,2009,16.29,4000,Diesel,3,7599.75,Ford,Manual,Blue,None,1,Yes
122,2007,19.92,3000,Diesel,2,9493.81,Tesla,Manual,Black,Partial,2,Yes
123,1995,13.98,4000,Petrol,2,8360.51,Toyota,Manual,Black,Full,1,No
124,2019,12.27,4000,Diesel,5,7168.89,Kia,Manual,Red,Partial,0,Yes
125,2001,20.33,2000,Petrol,4,4666.03,Kia,Automatic,Black,Partial,0,Yes
126,2003,27.34,1200,Petrol,4,5336.48,Hyundai,Automatic,White,Full,0,Yes
127,2018,24.22,800,Diesel,4,7016.61,BMW,Automatic,Silver,Partial,0,No
128,1995,21.54,3000,Diesel,5,6545.0,Ford,Automatic,White,Full,0,Yes
129,2006,22.9,5000,Diesel,4,9050.98,BMW,Manual,Gray,Full,0,Yes
130,2002,21.19,1200,Electric,3,7622.55,Chevrolet,Automatic,Black,Full,1,Yes
131,2018,20.25,2500,Diesel,4,7340.05,Chevrolet,Manual,Blue,Partial,1,Yes
132,2005,22.49,5000,Diesel,4,9640.03,Ford,Automatic,Gray,Full,0,Yes
133,2013,11.16,2000,Diesel,2,7490.07,Nissan,Manual,Blue,None,0,No
134,2011,19.0,1200,Petrol,5,3833.56,Ford,Manual,Gray,Full,1,Yes
135,2002,17.6,2000,Diesel,5,4314.29,Ford,Manual,White,Full,0,Yes
136,1997,18.39,1200,Petrol,4,2513.59,Hyundai,Manual,White,None,0,Yes
137,1997,15.69,4000,Diesel,1,9336.12,Toyota,Manual,White,Full,1,No
138,1995,20.6,800,Petrol,2,1488.02,Nissan,Manual,White,Full,0,Yes
139,2021,13.91,3000,Petrol,4,9960.68,Chevrolet,Automatic,Red,Full,1,No
140,1999,15.33,1800,Petrol,1,6778.35,Tesla,Automatic,White,Full,0,Yes
141,2004,14.73,1500,Diesel,3,5112.66,Chevrolet,Manual,Red,Partial,2,Yes
142,2001,22.32,800,Petrol,2,4655.34,Tesla,Manual,Black,Partial,0,Yes
143,2020,17.94,4000,Petrol,5,8012.16,Volkswagen,Automatic,White,Full,2,Yes
144,2003,15.7,4000,Diesel,1,9876.22,BMW,Manual,White,Full,1,Yes
145,2022,16.13,1800,Petrol,4,8344.84,Ford,Manual,Blue,Full,2,Yes
146,2001,18.02,4000,Petrol,1,9313.76,Chevrolet,Automatic,Black,None,0,Yes
147,2003,26.11,5000,Petrol,5,9329.93,Volkswagen,Manual,Black,None,0,Yes
148,2002,11.82,4000,Diesel,3,9081.22,Volkswagen,Manual,White,None,0,Yes
149,2006,21.38,2500,Diesel,1,7248.65,Tesla,Automatic,Black,Full,1,No
150,1996,20.36,3000,Diesel,4,6873.04,Ford,Automatic,Silver,None,1,Yes
151,1995,13.59,800,Petrol,1,3508.18,Kia,Manual,Gray,Partial,1,Yes
152,2010,25.33,1500,Petrol,3,6516.66,Honda,Automatic,Blue,Partial,1,Yes
153,2017,20.7,5000,Petrol,1,15872.61,Kia,Manual,Black,Partial,2,Yes
154,2017,15.46,5000,Electric,3,15287.96,Hyundai,Manual,Silver,Partial,0,Yes
155,2018,8.7,1500,Diesel,3,6477.7,BMW,Manual,White,Partial,1,Yes
156,1999,19.15,4000,Diesel,2,9058.47,Ford,Manual,Blue,Full,0,Yes
157,1997,17.78,1200,Electric,2,7185.76,Tesla,Manual,Gray,Full,1,Yes
158,2006,12.85,5000,Petrol,4,9244.95,Nissan,Manual,Blue,None,0,No
159,2002,12.78,5000,Petrol,4,9491.03,Kia,Automatic,Blue,Full,0,Yes
160,2016,22.34,800,Diesel,4,5779.98,Volkswagen,Manual,Silver,Full,1,Yes
161,2021,8.22,1800,Diesel,3,4914.53,Ford,Manual,Red,Full,0,Yes
162,1997,19.57,2500,Diesel,3,4723.77,Hyundai,Manual,Blue,Full,0,Yes
163,1995,17.06,1500,Diesel,2,5099.0,BMW,Automatic,Silver,Partial,0,No
164,1997,20.49,4000,Diesel,3,8792.4,Kia,Manual,Gray,Partial,0,Yes
165,1999,16.53,2000,Diesel,2,4195.33,Honda,Automatic,Red,Partial,0,Yes
166,2009,19.47,2000,Diesel,1,7042.82,Kia,Manual,Silver,Full,0,No
167,2008,14.29,1200,Petrol,4,3499.95,Ford,Manual,Silver,Full,0,Yes
168,1997,17.75,5000,Diesel,4,10036.61,Tesla,Automatic,Silver,Partial,0,Yes
169,1995,20.45,5000,Diesel,5,6562.53,Nissan,Automatic,Blue,Full,0,No
170,1999,18.75,1800,Diesel,2,4586.94,Nissan,Manual,White,None,0,Yes
171,2020,19.9,5000,Petrol,5,11867.57,Kia,Manual,Gray,Partial,1,No
172,2017,13.36,2000,Petrol,4,5109.32,Tesla,Automatic,Blue,Full,0,Yes
173,2008,15.05,1500,Petrol,5,4237.77,Chevrolet,Manual,Gray,Full,0,No
174,2001,15.13,1200,Electric,1,6621.91,Kia,Automatic,Gray,None,0,No
175,2021,16.62,1800,Petrol,5,5906.24,Volkswagen,Manual,Blue,Full,0,Yes
176,2003,24.79,2500,Petrol,1,7555.63,Volkswagen,Manual,Blue,Partial,1,Yes
177,2009,16.23,2000,Diesel,4,5516.44,Nissan,Manual,Blue,Partial,0,Yes
178,2009,12.28,1000,Diesel,3,3659.65,Nissan,Manual,Red,None,2,Yes
179,2020,20.71,800,Diesel,2,7180.43,BMW,Automatic,Red,Full,0,Yes
180,2004,24.73,1800,Electric,5,9413.59,Tesla,Automatic,Silver,Full,2,Yes
181,2022,11.69,1800,Diesel,1,9169.91,Ford,Manual,Black,Full,0,Yes
182,2007,27.86,2000,Diesel,4,8307.23,Hyundai,Manual,Gray,Partial,1,Yes
183,2013,20.08,1200,Petrol,4,5484.11,Ford,Manual,Black,Full,0,No
184,2001,23.17,800,Petrol,3,3959.19,Nissan,Automatic,White,Partial,0,Yes
185,2011,25.34,1500,Diesel,4,6548.13,BMW,Manual,Silver,Partial,0,No
186,2014,22.86,1500,Petrol,4,4960.39,Hyundai,Manual,Gray,Partial,0,Yes
187,2023,17.45,5000,Diesel,3,13977.93,Tesla,Manual,White,Full,0,Yes
188,1998,24.09,1000,Petrol,4,3115.8,Nissan,Manual,Red,Partial,1,No
189,1999,19.27,3000,Petrol,1,7518.48,Tesla,Automatic,Blue,None,1,Yes
190,2017,23.45,2000,Petrol,5,7691.52,Ford,Manual,White,Full,1,Yes
191,2001,24.0,1200,Diesel,5,2957.44,Tesla,Manual,White,Partial,0,Yes
192,2007,12.55,800,Petrol,1,3914.74,Nissan,Manual,Red,Partial,0,No
193,2009,21.97,1200,Petrol,5,5076.83,BMW,Manual,Silver,Full,0,Yes
194,2005,17.09,3000,Diesel,4,7137.36,Honda,Manual,Blue,Full,0,Yes
195,2023,18.69,1500,Electric,5,12130.73,Ford,Manual,Blue,None,0,Yes
196,1998,18.64,1200,Petrol,5,2879.82,Tesla,Automatic,Silver,Partial,0,No
197,2007,18.43,1500,Diesel,4,5446.82,Hyundai,Automatic,Gray,Full,0,Yes
198,2001,25.62,1500,Diesel,5,6699.4,Honda,Automatic,Red,None,0,Yes
199,2021,11.17,1000,Petrol,4,5736.05,Chevrolet,Automatic,Gray,Partial,1,Yes
200,2013,9.39,1500,Diesel,3,5659.79,Hyundai,Manual,Red,Full,1,No
201,2016,8.33,4000,Petrol,3,6386.74,Kia,Manual,White,Partial,0,Yes
202,2022,23.35,1500,Petrol,5,6864.9,Honda,Automatic,Black,Full,0,Yes
203,1996,14.13,800,Diesel,3,2399.79,Chevrolet,Manual,Black,Full,1,Yes
204,2004,18.66,800,Diesel,5,2177.79,Toyota,Automatic,Red,Full,0,Yes
205,2007,17.43,800,Petrol,3,4454.46,Nissan,Automatic,Silver,Full,0,Yes
206,2019,13.57,1800,Diesel,5,6796.85,Nissan,Automatic,Gray,None,0,No
207,2015,22.26,2000,Diesel,2,9244.49,Hyundai,Automatic,Silver,Full,1,Yes
208,2000,17.36,2000,Diesel,1,5874.48,Volkswagen,Manual,Black,Full,1,No
209,2022,16.81,2000,Diesel,3,6659.85,Chevrolet,Manual,Gray,Partial,2,Yes
210,2022,19.16,4000,Diesel,4,11086.06,Volkswagen,Manual,Silver,None,0,Yes
211,2006,21.6,800,Petrol,1,5172.28,Volkswagen,Automatic,Silver,Full,2,No
212,2006,13.21,5000,Petrol,5,8117.19,Toyota,Manual,Gray,None,1,Yes
213,2014,22.36,2000,Diesel,1,8401.5,Tesla,Manual,Blue,Full,0,Yes
214,2005,25.25,3000,Diesel,4,7333.1,Chevrolet,Automatic,Gray,Full,1,Yes
215,2020,10.87,3000,Petrol,4,7986.23,Honda,Manual,Silver,Full,1,Yes
216,2017,19.39,1200,Petrol,5,5119.76,Ford,Manual,Blue,Full,1,Yes
217,2022,16.48,1800,Diesel,3,9315.03,Kia,Manual,Gray,None,1,Yes
218,2019,21.5,5000,Petrol,3,13095.73,Ford,Automatic,Blue,None,0,Yes
219,2001,11.92,1500,Petrol,2,4500.31,Tesla,Automatic,Gray,Partial,1,No
220,1995,26.14,800,Petrol,4,3403.0,BMW,Automatic,Black,Full,1,Yes
221,1995,9.96,4000,Petrol,2,5470.93,Chevrolet,Manual,Blue,Full,1,Yes
222,2019,16.78,1800,Petrol,4,7977.88,BMW,Automatic,Red,Partial,0,Yes
223,2021,20.17,1000,Petrol,2,10722.17,Honda,Manual,White,Full,1,Yes
224,2019,14.57,1000,Diesel,3,5035.78,Chevrolet,Manual,Blue,Full,0,Yes
225,2014,13.78,2500,Petrol,4,6229.3,Tesla,Manual,Red,Full,0,No
226,2007,19.11,1500,Diesel,3,4944.42,Toyota,Manual,Red,Full,0,Yes
227,2003,18.39,800,Diesel,1,5055.62,Hyundai,Manual,Silver,Full,1,Yes
228,1997,18.03,1800,Petrol,3,4177.78,Nissan,Automatic,Red,Full,0,Yes
229,2001,22.29,1000,Petrol,4,3210.27,Tesla,Manual,Silver,Full,2,Yes
230,2000,16.03,2500,Diesel,1,7159.23,Toyota,Automatic,Red,Partial,0,Yes
231,2002,19.6,4000,Petrol,2,9439.56,Ford,Automatic,Black,Full,0,Yes
232,2021,15.47,800,Petrol,5,6328.71,Honda,Manual,Black,Full,0,Yes
233,2003,13.75,1000,Petrol,4,3144.73,Ford,Automatic,Black,Full,1,No
234,1999,16.58,2000,Petrol,5,3698.34,Ford,Automatic,Black,Full,0,No
235,1995,15.51,3000,Diesel,5,4076.74,Ford,Manual,Gray,Partial,0,No
236,2013,15.76,2500,Diesel,1,8725.91,Toyota,Manual,Black,Full,0,Yes
237,2004,23.83,4000,Petrol,2,8816.8,Ford,Automatic,Red,None,0,Yes
238,2006,16.73,1000,Electric,3,8395.17,Honda,Manual,Blue,None,0,Yes
239,2018,14.69,4000,Petrol,1,11988.09,Volkswagen,Manual,Blue,None,3,No
240,2009,18.14,1500,Diesel,2,6400.47,Nissan,Manual,Blue,None,0,Yes
241,2021,18.52,1200,Diesel,3,6669.8,Tesla,Manual,Black,Partial,1,Yes
242,2016,12.07,2500,Diesel,3,9136.35,Kia,Automatic,Black,None,0,Yes
243,2018,16.51,1800,Petrol,2,7232.83,Chevrolet,Automatic,Red,Partial,1,Yes
244,2003,16.31,1800,Diesel,3,4156.57,Toyota,Manual,Gray,Full,0,Yes
245,2014,17.14,1000,Petrol,4,4747.56,Chevrolet,Automatic,Blue,Partial,0,Yes
246,2011,21.63,2000,Petrol,4,7472.23,Tesla,Manual,Gray,Partial,0,Yes
247,2011,18.68,2000,Petrol,1,9225.02,Tesla,Manual,Silver,Full,0,Yes
248,2020,24.14,1500,Diesel,3,9107.15,Kia,Manual,Black,Partial,1,Yes
249,2014,17.94,1800,Petrol,3,5543.51,Chevrolet,Automatic,White,None,1,Yes
250,2006,26.88,2500,Petrol,2,8217.09,Honda,Automatic,White,Partial,1,Yes
251,2001,15.7,3000,Petrol,4,5452.33,BMW,Manual,White,Full,1,Yes
252,1996,14.15,2000,Petrol,5,3395.55,Tesla,Manual,Red,Full,0,No
253,1997,20.74,1800,Petrol,1,5346.39,BMW,Manual,Silver,Partial,1,Yes
254,2011,24.82,1200,Electric,4,9603.61,Tesla,Automatic,Black,Full,0,Yes
255,1999,11.11,2500,Petrol,2,4877.33,Nissan,Automatic,Red,Partial,0,Yes
256,2011,17.02,3000,Petrol,1,8247.67,BMW,Manual,Blue,Full,1,Yes
257,2018,14.95,1200,Diesel,5,6501.41,Volkswagen,Manual,Blue,Full,1,Yes
258,2011,18.71,1800,Diesel,1,7464.01,Toyota,Manual,Black,None,1,No
259,2021,18.05,1000,Diesel,4,7100.61,Kia,Automatic,Gray,Full,1,Yes
260,2011,24.73,5000,Diesel,5,9865.43,Toyota,Automatic,Black,None,0,Yes
261,1996,17.46,5000,Petrol,2,8441.87,Kia,Automatic,White,None,1,Yes
262,1996,24.87,1500,Diesel,1,4267.19,BMW,Automatic,Silver,Full,0,Yes
263,2022,16.42,1500,Diesel,4,6146.92,Tesla,Manual,White,None,0,No
264,2016,22.63,3000,Diesel,2,9338.81,Tesla,Automatic,Silver,Partial,0,Yes
265,2017,19.14,1200,Electric,5,7783.0,Volkswagen,Automatic,Red,Full,0,Yes
266,1999,26.65,1800,Diesel,1,6608.71,Chevrolet,Manual,Red,Full,1,No
267,1995,10.61,1800,Diesel,3,2124.15,Tesla,Automatic,Gray,None,0,No
268,1995,12.18,1000,Petrol,4,1000.0,Ford,Automatic,Silver,Partial,0,Yes
269,2013,27.16,4000,Petrol,4,10826.27,Nissan,Automatic,Red,Full,1,Yes
270,1996,14.33,1500,Electric,3,8231.07,BMW,Automatic,Silver,Full,1,Yes
271,2015,14.65,4000,Diesel,2,10884.89,BMW,Manual,Gray,Partial,1,Yes
272,2006,13.62,4000,Petrol,4,8318.11,Kia,Automatic,Gray,Full,0,No
273,2020,23.74,1000,Diesel,2,7481.52,Chevrolet,Manual,Gray,Full,0,No
274,2000,11.73,4000,Petrol,5,4327.06,Volkswagen,Manual,Red,Partial,0,No
275,2017,18.11,4000,Diesel,3,10423.83,Nissan,Manual,Gray,Partial,1,No
276,1998,16.67,1000,Diesel,2,2578.19,Kia,Manual,Blue,Full,0,No
277,2017,23.18,2000,Petrol,5,8254.88,Honda,Manual,Black,Partial,0,No
278,2005,15.18,4000,Petrol,1,11043.7,Nissan,Manual,Red,Full,2,No
279,2018,20.08,1500,Petrol,4,5849.54,Nissan,Manual,Red,Partial,0,Yes
280,2021,12.14,1000,Diesel,3,5986.14,Chevrolet,Manual,Blue,Full,0,Yes
281,2011,29.37,2500,Diesel,1,8463.91,Nissan,Automatic,White,Partial,0,Yes
282,2000,16.8,4000,Diesel,1,9744.49,Volkswagen,Automatic,Blue,Partial,0,Yes
283,2018,18.04,2000,Diesel,1,10013.68,Tesla,Manual,Red,Full,0,Yes
284,1999,26.27,1500,Petrol,2,6222.49,BMW,Automatic,Blue,Partial,0,No
285,2014,15.07,800,Petrol,4,4827.66,Honda,Manual,Blue,None,0,No
286,1996,26.34,1500,Diesel,3,4666.49,Tesla,Manual,Gray,None,0,Yes
287,2000,15.94,1200,Electric,4,6607.53,Kia,Manual,Blue,Partial,0,Yes
288,2016,21.36,2500,Petrol,4,7839.37,Tesla,Automatic,Silver,None,0,No
289,2005,15.14,5000,Petrol,4,9093.77,Volkswagen,Manual,Blue,Partial,1,Yes
290,2010,11.22,1800,Petrol,5,5700.81,Ford,Manual,Blue,Full,0,No
291,2010,20.07,1200,Diesel,5,5390.65,Tesla,Automatic,Red,Partial,0,Yes
292,1995,21.2,1000,Petrol,5,1623.57,Nissan,Manual,Silver,None,0,Yes
293,2003,11.42,1000,Electric,5,7025.46,Tesla,Manual,White,Full,0,No
294,2022,16.46,1800,Petrol,4,6679.71,Hyundai,Manual,Silver,Full,1,Yes
295,2021,24.0,3000,Petrol,4,11863.98,Kia,Manual,Silver,None,0,Yes
296,2000,21.0,3000,Petrol,3,5620.37,Hyundai,Manual,Silver,Partial,0,Yes
297,2010,16.02,1800,Diesel,3,5877.78,Kia,Automatic,Red,Full,1,No
298,2023,15.01,1000,Petrol,3,7106.65,Toyota,Manual,Gray,Partial,0,Yes
299,1997,27.74,1500,Petrol,3,5376.83,Nissan,Manual,Black,Full,1,No
300,2014,10.77,2500,Petrol,3,7225.04,Nissan,Automatic,Red,Full,0,Yes
301,2022,17.7,2000,Diesel,5,8597.51,Nissan,Manual,Red,Full,0,Yes
302,2021,10.68,5000,Petrol,4,11773.67,Honda,Automatic,White,Full,0,Yes
303,1998,24.57,2500,Diesel,3,6813.8,Tesla,Automatic,Gray,Partial,1,No
304,2013,17.96,1800,Petrol,2,6599.46,Toyota,Automatic,White,Full,1,Yes
305,2020,18.89,1000,Electric,3,10486.5,Volkswagen,Manual,White,None,0,No
306,1997,31.84,3000,Diesel,3,7329.53,Chevrolet,Automatic,Black,Partial,0,Yes
